category,sub_category,producer,product_type,product,kosher_type,kosher_stamp,comment
"div matprodukter","Krydder og smakstilsetninger","Toro","-","Sort Pepper Grovmalt","p","-","-"
"div matprodukter","Krydder og smakstilsetninger","Toro","-","Green Garden Salat dressingmix Lime og koriander","p","-","-"
"div matprodukter","Krydder og smakstilsetninger","Toro","-","Grillkrydder Honningsmak","p","-","-"

"div matprodukter","Krydder og smakstilsetninger","Santa Maria","-","Taco Spicemix","p","-","-"
"div matprodukter","Krydder og smakstilsetninger","Santa Maria","-","Hot Taco Spicemix","p","-","-"
"div matprodukter","Krydder og smakstilsetninger","Santa Maria","-","Burrito Spicemix","p","-","-"
"div matprodukter","Krydder og smakstilsetninger","Santa Maria","-","Fajita Spicemix","p","-","-"
"div matprodukter","Krydder og smakstilsetninger","Santa Maria","-","Vegetarian Taco Mix","p","-","-"
"div matprodukter","Krydder og smakstilsetninger","Santa Maria","-","Stir Fry Sauce Original","p","-","-"

"div matprodukter","Majones og remulade","Mills","-","Ekte majones","p","-","-"
"div matprodukter","Majones og remulade","Mills","-","Lettmajones","p","-","-"
"div matprodukter","Majones og remulade","Mills","-","Sitronmajones","p","-","-"
"div matprodukter","Majones og remulade","Mills","-","Remulade","p","-","-"
"div matprodukter","Majones og remulade","Mills","-","Sandwichmajones aioli","m","-","-"

"div matprodukter","Majones og remulade","Hellmann’s","-","Real Mayonnaise","p","OU","-"
"div matprodukter","Majones og remulade","Vita Hjertego’","-","Lettmajones","p","-","-"

"div matprodukter","Olje","info","-","Alle vegetabilske oljer, bortsett fra druekjerneolje, er tillatte.","p","-","-"

"div matprodukter","Sennep","French’s","-","Classic yellow mustard","p","OU","Kun med OU-merke!"
"div matprodukter","Sennep","Idun","-","Bodsennep","p","-","-"
"div matprodukter","Sennep","Idun","-","Pølsesennep","p","-","-"
"div matprodukter","Sennep","Idun","-","Sennep Grov på glass","p","-","-"
"div matprodukter","Sennep","Idun","-","Sennep Mild på glass","p","-","-"
"div matprodukter","Sennep","Idun","-","Sennep Sterk på glass","p","-","-"
"div matprodukter","Sennep","Idun","-","Sennep uten sukker","p","-","-"
"div matprodukter","Sennep","Slotts","-","Senap Original","p","-","-"
"div matprodukter","Sennep","Slotts","-","Skånsk senap, Stärk och grovkornig","p","-","-"

"div matprodukter","Sauser, ketchup og dressing","A1","-","Steak Sauce","p","OU","Kun med OU-merke!"
"div matprodukter","Sauser, ketchup og dressing","Heinz","-","Tomatketchup","p","-","-"
"div matprodukter","Sauser, ketchup og dressing","Heinz","-","Tomatpuré","p","-","-"
"div matprodukter","Sauser, ketchup og dressing","Heinz","-","Økologisk ketchup","p","-","-"
"div matprodukter","Sauser, ketchup og dressing","HP","-","HP Sauce","p","-","-"
"div matprodukter","Sauser, ketchup og dressing","Kikkoman","-","Kikkoman","p","-","-"
"div matprodukter","Sauser, ketchup og dressing","Idun","-","Crème fraîche-dressing Maks 3 % fett","m","-","-"
"div matprodukter","Sauser, ketchup og dressing","Idun","-","Fransk dressing Fettfri","p","-","-"
"div matprodukter","Sauser, ketchup og dressing","Idun","-","Italiensk dressing Fettfri","p","-","-"
"div matprodukter","Sauser, ketchup og dressing","Idun","-","Iduns utvalgte","p","-","-"
"div matprodukter","Sauser, ketchup og dressing","Idun","-","Hamburgerdressing","p","-","-"
"div matprodukter","Sauser, ketchup og dressing","Idun","-","Hvitløksdressing","p","-","-"
"div matprodukter","Sauser, ketchup og dressing","Idun","-","Hvitløksdressing Maks 3 %","m","-","-"
"div matprodukter","Sauser, ketchup og dressing","Idun","-","Ketchup Red Hot Chilli","p","-","-"
"div matprodukter","Sauser, ketchup og dressing","Idun","-","Partydressing","m","-","-"
"div matprodukter","Sauser, ketchup og dressing","Idun","-","Pizzadressing med hvitløk","m","-","-"
"div matprodukter","Sauser, ketchup og dressing","Idun","-","Rømmedressing","m","-","-"
"div matprodukter","Sauser, ketchup og dressing","Idun","-","Selskapsdressing Maks 3 %","p","-","-"
"div matprodukter","Sauser, ketchup og dressing","Idun","-","Thousand Island dressing","p","-","-"
"div matprodukter","Sauser, ketchup og dressing","Idun","-","Thousand Island dressing Maks 3 %","p","-","-"
"div matprodukter","Sauser, ketchup og dressing","Idun","-","Tomatketchup","p","-","-"
"div matprodukter","Sauser, ketchup og dressing","Idun","-","Tomatketchup uten tilsatt sukker","p","-","-"
"div matprodukter","Sauser, ketchup og dressing","Idun","-","Ravigottesaus","p","-","-"
"div matprodukter","Sauser, ketchup og dressing","Idun","-","Sennepssaus","p","-","-"
"div matprodukter","Sauser, ketchup og dressing","Mc Ilhenny Co.","-","Tabasco Pepper Sauce","p","-","-"
"div matprodukter","Sauser, ketchup og dressing","Mc Ilhenny Co.","-","Tabasco Green Pepper Sauce","p","-","-"
"div matprodukter","Sauser, ketchup og dressing","Mc Ilhenny Co.","-","Tabasco Grarlic Pepper Sauce","p","-","-"
"div matprodukter","Sauser, ketchup og dressing","Mc Ilhenny Co.","-","Tabasco Chipotle Pepper Sauce","p","-","-"
"div matprodukter","Sauser, ketchup og dressing","Mc Ilhenny Co.","-","Tabasco Habanero Pepper Sauce","p","-","-"
"div matprodukter","Sauser, ketchup og dressing","Toro","-","Bearnaisesaus","m","-","-"
"div matprodukter","Sauser, ketchup og dressing","Toro","-","Brunet sausejevning","m","-","-"
"div matprodukter","Sauser, ketchup og dressing","Toro","-","Grønnsaksbuljong økonomiblokk","p","-","-"
"div matprodukter","Sauser, ketchup og dressing","Toro","-","Hollandaisesaus","m","-","-"
"div matprodukter","Sauser, ketchup og dressing","Toro","-","Kantarell- og sjampinjongsaus","m","-","-"
"div matprodukter","Sauser, ketchup og dressing","Toro","-","Kjøttdeigsaus","p","-","-"
"div matprodukter","Sauser, ketchup og dressing","Toro","-","Krydder Bearnaisesaus","m","-","-"
"div matprodukter","Sauser, ketchup og dressing","Toro","-","Lett Bearnaisesaus","p","-","-"
"div matprodukter","Sauser, ketchup og dressing","Toro","-","Parisienne fiskesaus","p","-","-"
"div matprodukter","Sauser, ketchup og dressing","Toro","-","Tomatsaus","p","-","-"


