category,sub_category,producer,product_type,product,kosher_type,kosher_stamp,comment
"is & dessert","iskrem","Hennig-Olsen","dessertis","Sørlandsis Tricolor","ik","-","-"
"is & dessert","iskrem","Hennig-Olsen","dessertis","Crème Jubileum Bjørnebær/Eggelikør","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","dessertis","Crème Jubileum Vanilje","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","dessertis","DUGG Sorbet Mango","p","-","-"
"is & dessert","iskrem","Hennig-Olsen","dessertis","DUGG Sorbet Sitron","p","-","-"
"is & dessert","iskrem","Hennig-Olsen","dessertis","DUGG Vegansk Kokos-is","p","-","-"
"is & dessert","iskrem","Hennig-Olsen","dessertis","DUGG Yoghurtis Jordbær","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","dessertis","DUGG Yoghurtis Sjokolade","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","dessertis","Easy Vanilje","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","dessertis","Inspira Kirsebæris","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","dessertis","Inspira Lys Sjokoladeis","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","dessertis","Inspira mørk Sjokoladeis","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","dessertis","Inspira Peanøttis","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","dessertis","Inspira Vaniljeis","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","dessertis","Is-Kjeks","p","-","-"
"is & dessert","iskrem","Hennig-Olsen","dessertis","OREO Dessert","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","dessertis","Sakte Kjærna Guava med Pasjonfrukt","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","dessertis","Sakte Kjærna Salt karamell med pekannøtter","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","dessertis","Sakte Kjærna Sjokolade med hint av chili","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","dessertis","Sakte Kjærna Vanilje med cookie dough","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","dessertis","Sjokolatte Vaniljesmak","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","dessertis","Sørlandsis Krokan","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","dessertis","Sørlandsis Pistasj","m","-","-"

￼￼￼￼"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Lakris","ik","-","-"
